source_id,formal_title,ndl_id,author,publisher,published_date
7,ひろしま百山 (登山ガイドブック),R100000002-I000002726373,広島県山岳連盟 監修ほか,中国新聞社,1998-10-01
8,ふるさと兵庫100山 改訂版,R100000002-I024941725,兵庫県山岳連盟 編,神戸新聞総合出版センター,2013-11-01
9,京都府山岳総覧 : 京都府339山案内,R100000002-I027567206,"内田嘉弘, 竹内康之 編著",ナカニシヤ出版,2016-09-01
10,静岡の百山,R100000002-I000002152914,静岡百山研究会 編,明文出版社,1991-10-01
11,石川の山,R100000002-I000002016598,石川の山編集委員会 編,石川県山岳協会,1989-05-01
12,大分の山 : 大分県主要山岳丘陵一覧,R100000002-I000001972726,梅木秀徳 編著,梅木秀徳,1987-11-01
13,大分三百山超 : 大分のかくれた名山たち : 登山ガイド. 第2集,R100000002-I032087116,菅博行 著,学術研究出版,2022-04-01
14,大分二百五十山超 : 登山ガイド : 大分のかくれた名山たち第一集「喜瑞」,R100000002-I032842477,菅博行 著,学術研究出版,2023-04-01
15,奈良名山案内 : 世界遺産の峰めぐり,R100000002-I025575741,エスカルゴ山の会関西支部 編著,ナカニシヤ出版,2014-08-01
16,富山県山名録,R100000002-I000003001579,"橋本廣, 佐伯邦夫 編",桂書房,2001-06-01
17,福井の山150,R100000002-I000002022656,増永迪男 著,ナカニシヤ出版,1989-11-01
18,房総山岳志,R100000002-I000007929820,内田栄一 著,崙書房出版,2005-09-01
19,防長百山 3訂第3版,R100000002-I000002272417,安倍正道 著,マツノ書店,1992-04-01
20,鈴鹿の山万能ガイド : ハイキングマップで歩く,R100000002-I000008356994,西内正弘 著,中日新聞社,2006-09-01